stop1;stop2;temps
StopPoint:OCETGV INOUI-87481762;StopPoint:OCETGV INOUI-87481754;16
StopPoint:OCETGV INOUI-87481747;StopPoint:OCETGV INOUI-87481705;36
StopPoint:OCETGV INOUI-87486449;StopPoint:OCETGV INOUI-87486019;26
StopPoint:OCETGV INOUI-87486019;StopPoint:OCETGV INOUI-87481002;81
StopPoint:OCELyria-87686006;StopPoint:OCELyria-87300822;137
StopPoint:OCELyria-87300822;StopPoint:OCELyria-87182063;162
StopPoint:OCELyria-87182063;StopPoint:OCELyria-85000109;191
StopPoint:OCELyria-85000109;StopPoint:OCELyria-85030007;244
StopPoint:OCELyria-85030007;StopPoint:OCELyria-85000109;60
StopPoint:OCELyria-87713040;StopPoint:OCELyria-87686006;244
StopPoint:OCELyria-87713412;StopPoint:OCELyria-87715136;168
StopPoint:OCELyria-87715136;StopPoint:OCELyria-85011031;186
StopPoint:OCELyria-85011031;StopPoint:OCELyria-85011205;238
StopPoint:OCELyria-85011205;StopPoint:OCELyria-85011031;42
StopPoint:OCELyria-87718833;StopPoint:OCELyria-87713412;104
StopPoint:OCETGV INOUI-80143099;StopPoint:OCETGV INOUI-80143198;160
StopPoint:OCETGV INOUI-80143198;StopPoint:OCETGV INOUI-80143255;168
StopPoint:OCETGV INOUI-80143255;StopPoint:OCETGV INOUI-80143503;225
StopPoint:OCETGV INOUI-80143503;StopPoint:OCETGV INOUI-80143255;23
StopPoint:OCEICE-87212027;StopPoint:OCEICE-87271007;114
StopPoint:OCEICE-87271007;StopPoint:OCEICE-87212027;118
StopPoint:OCEICE-80203471;StopPoint:OCEICE-80021402;29
StopPoint:OCEICE-80021402;StopPoint:OCEICE-80291039;73
StopPoint:OCEICE-80291039;StopPoint:OCEICE-80290346;140
StopPoint:OCEICE-80290346;StopPoint:OCEICE-80142281;182
StopPoint:OCEICE-80142281;StopPoint:OCEICE-87212027;234
StopPoint:OCEICE-80110684;StopPoint:OCEICE-80140087;42
StopPoint:OCEICE-80140087;StopPoint:OCEICE-80142281;69
StopPoint:OCEICE-87171926;StopPoint:OCEICE-87212027;148
StopPoint:OCEICE-87193003;StopPoint:OCEICE-80253914;130
StopPoint:OCEICE-80253914;StopPoint:OCEICE-80196980;168
StopPoint:OCEICE-80196980;StopPoint:OCEICE-80140087;213
