stop_id;nom;latitude;longitude
StopPoint:OCETGV INOUI-87473223;lannion;48.726956;-3.460663
StopArea:OCE87474007;brest;48.387693;-4.480094
StopPoint:OCEOUIGO-87474007;brest;48.387693;-4.480094
StopPoint:OCETGV INOUI-87474007;brest;48.387693;-4.480094
StopArea:OCE87474098;quimper;47.994668;-4.092166
StopPoint:OCEOUIGO-87474098;quimper;47.994668;-4.092166
StopPoint:OCETGV INOUI-87474098;quimper;47.994668;-4.092166
StopArea:OCE87474155;rosporden;47.960195;-3.832755
StopPoint:OCETGV INOUI-87474155;rosporden;47.960195;-3.832755
StopArea:OCE87474239;landerneau;48.453711;-4.256595
StopPoint:OCETGV INOUI-87474239;landerneau;48.453711;-4.256595
StopArea:OCE87474338;morlaix;48.577986;-3.83276
StopPoint:OCEOUIGO-87474338;morlaix;48.577986;-3.83276
StopPoint:OCETGV INOUI-87474338;morlaix;48.577986;-3.83276
StopArea:OCE87476002;lorient;47.755553;-3.36565
StopPoint:OCEOUIGO-87476002;lorient;47.755553;-3.36565
StopPoint:OCETGV INOUI-87476002;lorient;47.755553;-3.36565
StopArea:OCE87476200;auray;47.680115;-2.999186
StopPoint:OCEOUIGO-87476200;auray;47.680115;-2.999186
StopPoint:OCETGV INOUI-87476200;auray;47.680115;-2.999186
StopArea:OCE87476317;quimperle;47.869127;-3.553016
StopPoint:OCETGV INOUI-87476317;quimperle;47.869127;-3.553016
StopArea:OCE87476606;vannes;47.665228;-2.75266
StopPoint:OCEOUIGO-87476606;vannes;47.665228;-2.75266
StopPoint:OCETGV INOUI-87476606;vannes;47.665228;-2.75266
StopArea:OCE87478073;dol de bretagne;48.543755;-1.750245
StopPoint:OCETGV INOUI-87478073;dol de bretagne;48.543755;-1.750245
StopArea:OCE87478107;saint malo;48.646531;-2.004049
StopPoint:OCETGV INOUI-87478107;saint malo;48.646531;-2.004049
StopArea:OCE87478404;laval;48.076318;-0.761146
StopPoint:OCEOUIGO-87478404;laval;48.076318;-0.761146
StopPoint:OCETGV INOUI-87478404;laval;48.076318;-0.761146
StopArea:OCE87481002;nantes;47.217094;-1.541424
StopPoint:OCEOUIGO-87481002;nantes;47.217094;-1.541424
StopPoint:OCETGV INOUI-87481002;nantes;47.217094;-1.541424
StopArea:OCE87481192;ancenis;47.369543;-1.177663
StopPoint:OCETGV INOUI-87481192;ancenis;47.369543;-1.177663
StopArea:OCE87481705;saint nazaire;47.286841;-2.211543
StopPoint:OCETGV INOUI-87481705;saint nazaire;47.286841;-2.211543
StopArea:OCE87481747;pornichet;47.270339;-2.343916
StopPoint:OCETGV INOUI-87481747;pornichet;47.270339;-2.343916
StopArea:OCE87481754;la baule escoublac;47.288673;-2.389126
StopPoint:OCETGV INOUI-87481754;la baule escoublac;47.288673;-2.389126
StopArea:OCE87481762;le pouliguen;47.282453;-2.434129
StopPoint:OCETGV INOUI-87481762;le pouliguen;47.282453;-2.434129
