stop_id;nom;latitude;longitude
StopPoint:OCEINTERCITES-87783241;saint chely d apcher;44.801706;3.270761
StopArea:OCE87783266;aumont aubrac;44.718107;3.283377
StopPoint:OCEINTERCITES-87783266;aumont aubrac;44.718107;3.283377
StopArea:OCE87783282;marvejols;44.544829;3.281272
StopPoint:OCEINTERCITES-87783282;marvejols;44.544829;3.281272
StopArea:OCE87783308;le monastier;44.50816;3.251877
StopPoint:OCEINTERCITES-87783308;le monastier;44.50816;3.251877
StopArea:OCE87783324;banassac   la canourgue;44.447599;3.196106
StopPoint:OCEINTERCITES-87783324;banassac   la canourgue;44.447599;3.196106
StopArea:OCE87783340;campagnac   saint geniez;44.421956;3.066366
StopPoint:OCEINTERCITES-87783340;campagnac   saint geniez;44.421956;3.066366
StopArea:OCE87783365;severac le chateau;44.324525;3.05693
StopPoint:OCEINTERCITES-87783365;severac le chateau;44.324525;3.05693
StopArea:OCE87783423;saint georges de luzencon;44.066618;2.98358
StopPoint:OCEINTERCITES-87783423;saint georges de luzencon;44.066618;2.98358
StopArea:OCE87783431;saint rome de cernon;44.014181;2.967474
StopPoint:OCEINTERCITES-87783431;saint rome de cernon;44.014181;2.967474
StopArea:OCE87783456;tournemire   roquefort;43.969958;3.016447
StopPoint:OCEINTERCITES-87783456;tournemire   roquefort;43.969958;3.016447
StopArea:OCE87784009;perpignan;42.696079;2.879622
StopPoint:OCEINTERCITES de nuit-87784009;perpignan;42.696079;2.879622
StopArea:OCE87784207;elne;42.597364;2.963531
StopPoint:OCEINTERCITES de nuit-87784207;elne;42.597364;2.963531
StopArea:OCE87784231;argeles sur mer;42.543958;3.021506
StopPoint:OCEINTERCITES de nuit-87784231;argeles sur mer;42.543958;3.021506
StopArea:OCE87784256;collioure;42.52692;3.078248
StopPoint:OCEINTERCITES de nuit-87784256;collioure;42.52692;3.078248
StopArea:OCE87784264;port vendres;42.513381;3.102386
StopPoint:OCEINTERCITES de nuit-87784264;port vendres;42.513381;3.102386
StopArea:OCE87784298;banyuls sur mer;42.482623;3.124414
StopPoint:OCEINTERCITES de nuit-87784298;banyuls sur mer;42.482623;3.124414
StopArea:OCE87785006;cerbere;42.442771;3.165528
StopPoint:OCEINTERCITES de nuit-87785006;cerbere;42.442771;3.165528
