stop1;stop2;temps
StopPoint:OCETrain TER-87715003;StopPoint:OCETrain TER-87715136;14
StopPoint:OCETrain TER-87715136;StopPoint:OCETrain TER-87715219;24
StopPoint:OCETrain TER-87715219;StopPoint:OCETrain TER-85011031;33
StopPoint:OCETrain TER-85042218;StopPoint:OCETrain TER-85042150;23
StopPoint:OCETrain TER-85042150;StopPoint:OCETrain TER-87715003;49
StopPoint:OCETrain TER-85070003;StopPoint:OCETrain TER-85042218;43
StopPoint:OCETrain TER-85011031;StopPoint:OCETrain TER-87715219;10
StopPoint:OCETrain TER-85001099;StopPoint:OCETrain TER-85001206;3
StopPoint:OCETrain TER-85001206;StopPoint:OCETrain TER-85001214;5
StopPoint:OCETrain TER-85001214;StopPoint:OCETrain TER-85001222;9
StopPoint:OCETrain TER-85001222;StopPoint:OCETrain TER-85001230;12
StopPoint:OCETrain TER-85001230;StopPoint:OCETrain TER-85001248;16
StopPoint:OCETrain TER-85001248;StopPoint:OCETrain TER-85001255;23
StopPoint:OCETrain TER-85001255;StopPoint:OCETrain TER-85001263;31
StopPoint:OCETrain TER-85001263;StopPoint:OCETrain TER-85001412;34
StopPoint:OCETrain TER-85001412;StopPoint:OCETrain TER-85001271;38
StopPoint:OCETrain TER-85001271;StopPoint:OCETrain TER-85001446;41
StopPoint:OCETrain TER-85001446;StopPoint:OCETrain TER-85001289;44
StopPoint:OCETrain TER-85001289;StopPoint:OCETrain TER-87184440;47
StopPoint:OCETrain TER-87184440;StopPoint:OCETrain TER-87700153;55
StopPoint:OCETrain TER-87700153;StopPoint:OCETrain TER-87184432;58
StopPoint:OCETrain TER-87184432;StopPoint:OCETrain TER-87184424;62
StopPoint:OCETrain TER-87184424;StopPoint:OCETrain TER-87184408;67
StopPoint:OCETrain TER-85001057;StopPoint:OCETrain TER-85001594;73
StopPoint:OCETrain TER-85001594;StopPoint:OCETrain TER-85043000;83
StopPoint:OCETrain TER-87184408;StopPoint:OCETrain TER-87184424;6
