nom;latitude;longitude
roeschwoog;48.833437;8.029823
roppenheim;48.851021;8.062068
seltz;48.896564;8.098672
munchhausen;48.924011;8.141186
mothern;48.934635;8.16157
lauterbourg;48.967697;8.182682
haguenau;48.813486;7.782757
schweighouse sur moder;48.828677;7.742564
obermodern;48.842587;7.547135
mertzwiller;48.872056;7.678244
gundershoffen;48.905261;7.653535
reichshoffen usines;48.921667;7.659638
reichshoffen;48.930925;7.658072
niederbronn les bains;48.952385;7.63409
bannstein croisement;49.004584;7.502202
walbourg;48.885998;7.80926
hoelschloch surbourg;48.91624;7.831445
soultz sous forets;48.934616;7.882425
hoffen;48.931225;7.932982
riedseltz;48.990383;7.962655
wissembourg;49.026127;7.96279
marienthal;48.781868;7.823352
bischwiller;48.765753;7.851654
kurtzenhouse;48.7417;7.813081
weyersheim;48.717698;7.796845
hoerdt;48.702972;7.779082
wingen sur moder;48.920092;7.380538
wimmenau;48.911292;7.428234
ingwiller;48.872407;7.477162
ettendorf;48.808186;7.585288
niedermodern pont de la moder;48.846462;7.627771
selestat;48.259824;7.443157
ebersheim;48.30976;7.493986
kogenheim;48.33879;7.535288
benfeld;48.374069;7.583866
matzenheim;48.39898;7.619654
erstein;48.422982;7.638701
scherwiller;48.286604;7.430545
dambach la ville;48.321635;7.435557
epfig;48.363593;7.450345
eichhoffen;48.38231;7.449862
barr;48.40348;7.456713
gertwiller;48.413314;7.466819
goxwiller;48.432755;7.47873
obernai;48.462155;7.489119
bischoffsheim;48.48701;7.49772
rosheim;48.505196;7.491065
dorlisheim;48.524992;7.493055
lingolsheim;48.559478;7.678522
entzheim aeroport;48.547162;7.629185
duppigheim;48.543967;7.586809
duttlenheim;48.545379;7.566289
dachstein;48.542727;7.532694
molsheim;48.537151;7.500284
mutzig;48.533656;7.462347
gresswiller;48.532998;7.42465
heiligenberg   mollkirch;48.52747;7.381576
urmatt;48.525984;7.338299
mullerhof;48.524639;7.312698
lutzelhouse;48.517959;7.293837
wisches;48.50761;7.270231
russ hersbach;48.497774;7.251333
schirmeck   la broque;48.479989;7.216339
rothau;48.459232;7.207709
fouday;48.424791;7.187252
saint blaise la roche;48.407333;7.165336
bourg bruche;48.359846;7.13731
saales;48.347315;7.110225
sainte marie aux mines cite scolaire;48.236929;7.170264
le menilot;48.239167;4.298611
les forges de clairvaux;48.16;4.79
daudes;48.245;4.183889
sarrebourg;48.73808;7.05285
reding;48.742619;7.095961
igney   avricourt;48.646701;6.805306
avricourt nouvel avricourt;48.651707;6.821681
rechicourt le chateau;48.665182;6.848117
gondrexange domaine ketzing;48.685278;6.926111
heming mairie;48.691725;6.970881
lutzelbourg;48.730011;7.251587
cutting rd27;48.845824;6.832852
domnom les dieuze mairie;48.859684;6.821987
bassing croisement;48.867778;6.801111
nebing rue robert schumann;48.9028;6.8105
loudrefing rue principale;48.858169;6.881958
mittersheim centre;48.861886;6.941723
berthelming;48.809593;7.008837
sarraltroff gare;48.770215;7.065367
sarre union;48.936017;7.085044
schopperten gare;48.945666;7.055736
keskastel gare;48.966364;7.049639
bar sur aube hopital;48.230833;4.715
bar sur aube piscine;48.241111;4.697222
ailleville;48.254722;4.682222
oermingen;49.000372;7.131732
diemeringen;48.940533;7.185252
tieffenbach   struth;48.90636;7.255418
arsonval;48.268056;4.648889
bossancourt;48.283611;4.601389
magny fouchard;48.241667;4.534444
vendeuvre sur barse centre;48.2375;4.466944
lusigny sur barse centre;48.254722;4.2675
rouilly saint loup d21;48.262778;4.151111
saint julien les villas mairie;48.273889;4.100833
troyes boulevard du 14 juillet;48.294167;4.079722
troyes victor hugo;48.293056;4.069167
langres bel air;47.858611;5.332222
romilly sur seine atelier sncf;48.514628;3.729115
romilly sur seine hopital;48.515833;3.715556
